순번,시설구분,벤처기업육성촉진지구명,주소,좌표(X),좌표(Y)
211,창업보육센터,홍익대벤처기업창업보육센터,세종특별자치시 조치원읍 세종로 2639 산학협력관,127.2880813,36.61976843
212,창업보육센터,동국대학교 경주캠퍼스 산학협력단,경북 경주시 동대로 123 동국대학교경주캠퍼스 산학협력단 벤처창업보육센터,129.1910549,35.86479746
213,창업보육센터,동신대학교 창업보육센터,전라남도 나주시 건재로 185  (대호동) 동신대학교 산학협력단 211호 창업보육센터,126.7160121,35.04680185
214,창업보육센터,한양대창업보육센터(안산),경기도 안산시 상록구 한양대학로 55 (사동) 창업보육센터 101호 행정실,126.834727,37.29604536
215,창업보육센터,RIST창업보육센터,"경상북도 포항시 남구 청암로 67, RIST 창업보육센터 (효자동) RIST 창업보육센터",129.3229022,36.00918867
216,창업보육센터,금오공과대학교 창업진흥센터,경상북도 구미시 대학로 61 (양호동) 벤처창업관 313호,128.3867211,36.14584847
217,창업보육센터,호원대학교창업보육센터,전라북도 군산시 임피면 호원대3길 64 호원대학교 산학협력관 209호,126.8638363,35.96787793
218,창업보육센터,강릉창업보육센터,강원도 강릉시 죽헌길 7 (지변동),128.869255,37.77003431
219,창업보육센터,경북대학교창업보육센터,대구광역시 북구 대학로 80 (산격동),128.6098976,35.89090429
220,창업보육센터,경상대창업보육센터,경상남도 진주시 진주대로 501 (가좌동),128.0980901,35.15199869
221,창업보육센터,경성대학교창업보육센터,부산광역시 남구 수영로 309 산학협력관(10관) 401호 창업보육센터 행정실,129.0989198,35.13836886
222,창업보육센터,고려대학교 벤처창업보육사업단,서울특별시 성북구 안암로 145 (안암동5가) (안암동5가),127.0264027,37.58566297
223,창업보육센터,공주대학교 창업보육센터,충청남도 공주시 공주대학로 56 공주대학교(산학연구관 214호) (신관동),127.1386153,36.4668156
224,창업보육센터,광주대학교창업보육센터,광주광역시 남구 효덕로 277 (진월동),126.895502,35.10700338
225,창업보육센터,대구대창업보육센터,경상북도 경산시 진량읍 대구대로 201 산학협력단 1108호,128.8429035,35.90455795
226,창업보육센터,대구미래대학교창업보육센터,경상북도 경산시 미래로 114 (평산동),128.7669359,35.81038871
227,창업보육센터,대원대학교창업보육센터,충청북도 제천시 대학로 316 (신월동),128.1916113,37.1763034
228,창업보육센터,한밭대학교 창업보육센터,대전광역시 유성구 동서대로 125 한밭대학교 창업보육센터(S5동 503호) (덕명동),127.3054995,36.34507262
229,창업보육센터,대진대학교 창업보육센터,경기도 포천시 호국로 1007 (선단동) 대진대학교 산학협동실습관,127.1560781,37.87076941
230,창업보육센터,동강대학교창업보육센터,광주광역시 북구 동문대로 50 (풍향동),126.9248296,35.16938138
231,창업보육센터,동서대Dream.E.Valley,부산광역시 사상구 주례로 47 동서대학교 Dream E. Valley (주례동),129.0104733,35.14159486
232,창업보육센터,동의대학교 창업보육센터,부산광역시 부산진구 엄광로 176 동의대학교 산학협력관 109호,129.0362844,35.1443178
233,창업보육센터,마산대학교 창업지원센터,경상남도 창원시 마산회원구 내서읍 함마대로 2640   함마대로 2640,128.5012401,35.26078493
234,창업보육센터,목원대학교창업진흥센터,대전광역시 서구 도안북로 88 (도안동) 목원대학교  창업진흥센터 O309호,127.3374167,36.3288016
235,창업보육센터,배화여자대학창업보육센터,서울특별시 종로구 필운대로1길 34 배화여자대학 기념관 지하1층 1102호,126.9672597,37.57957518
236,창업보육센터,부경대학교 창업보육센터,부산광역시 남구 신선로 365 산학협력관 창업보육센터 307호 (용당동),129.0927369,35.11818172
237,창업보육센터,한국생명공학연구원  바이오벤처센터,대전 유성구 과학로 125 한국생명공학연구원 벤처동(3동),127.3589922,36.37667677
238,창업보육센터,서강창업보육센터,서울특별시 마포구 백범로 35 (신수동) 서강대학교 떼이야르관 503호,126.9435981,37.55051813
239,창업보육센터,서울벤처인큐베이터,서울특별시 구로구 디지털로30길 28 (구로동) 마리오타워 8층,126.8952983,37.48213507
240,창업보육센터,서울과학기술대창업보육센터,서울특별시 노원구 공릉로 232 서울과학기술대학교 창업보육센터 (공릉동),127.0798304,37.6329769
241,창업보육센터,선문대학교 창업보육센터,충청남도 아산시 탕정면 선문로221번길 70 선문대학교 산학협력관307B 창업보육센터,127.0757706,36.8010725
242,창업보육센터,영산대학교지식창업보육센터,"부산광역시 해운대구 반송순환로 142 i동 8102호 지식창업보육센터 (반송동,영산대학교)",129.1536862,35.22352954
243,창업보육센터,순천제일대학교 창업보육센터,전라남도 순천시 제일대학길 17  (덕월동) 제일대학길 17,127.485169,34.93382592
244,창업보육센터,숭실대학교 벤처중소기업센터,서울특별시 동작구 상도로 369 (상도동),126.9572033,37.49636458
245,창업보육센터,영산대학교그린창업보육센터,경상남도 양산시 주남로 288 (주남동),129.1482073,35.42879918
246,창업보육센터,충북도립대학창업보육센터,충청북도 옥천군 옥천읍 대학길 15 금구리 창업보육센터,127.5738911,36.29879673
247,창업보육센터,우석대학교 창업보육센터,전라북도 완주군 삼례읍 삼례로 443 우석대학교 본관 7층 창업보육센터,127.0676514,35.9115724
248,창업보육센터,위덕대창업보육센터,경상북도 경주시 강동면 동해대로 261 위덕대학교 성취관 102-3호,129.2837564,36.01686955
249,창업보육센터,인천재능대학교창업진흥센터,인천광역시 동구 재능로 178 인천재능대학교 창업진흥센터 (송림동),126.6504471,37.47554206
250,창업보육센터,전주기전대학창업보육센터,전라북도 전주시 완산구 전라감영로 10 (다가동2가),127.1407857,35.81402934
251,창업보육센터,전주대학교 창업보육센터,전라북도 전주시 완산구 천잠로 303 (효자동2가),127.0888711,35.81617436
252,창업보육센터,창원문성대학 창업보육센터,경상남도 창원시 의창구 충혼로 91 벤처창업관 1층 창업보육센터,128.6602005,35.23309972
253,창업보육센터,청강문화산업대학교 창업보육센터,경기도 이천시 마장면 청강가창로 389-94 ,127.3570518,37.2045361
254,창업보육센터,청주대학교창업보육센터,충청북도 청주시 청원구 대성로 298 (내덕동),127.4957742,36.65224905
255,창업보육센터,한국산업기술대학교창업보육센터,경기도 시흥시 산기대학로 237 한국산업기술대학교 창업보육센터 (정왕동),126.7352928,37.33913227
256,창업보육센터,한국항공대학교 창업보육센터,경기도 고양시 덕양구 항공대학로 76 (화전동),126.8652018,37.59796858
257,창업보육센터,한동대 창업보육센터,경상북도 포항시 북구 흥해읍 한동로 558 한동대학교 창업보육센터 행정실,129.3857332,36.10339591
258,창업보육센터,한신대학교 창업보육센터,경기 오산시 한신대길 137 한신대학교 창업보육센터,127.0275323,37.19260944
259,창업보육센터,한국폴리텍IV 홍성대학 창업보육센터,충청남도 홍성군 홍성읍 충서로 1200 한국폴리텍대학 홍성캠퍼스 창업보육센터 1층,126.6575088,36.58284225
260,창업보육센터,국민대창업보육센터,서울특별시 성북구 정릉로 77 (정릉동),126.9976726,37.61091167
261,창업보육센터,서울시립대창업보육센터,서울특별시 서대문구 통일로 484 신지식산업센터 2-3층 (홍제동),126.9429783,37.59160771
262,창업보육센터,강남대인터넷창업보육센터,"경기도 용인시 기흥구 강남서로 20, 강남대학교 창조산학관 102호 (구갈동) 강남대학교 창조산학관 102호",127.1307819,37.27537362
263,창업보육센터,경민대학교 창업보육센터,경기 의정부시 서부로 545 경민대학교 창업보육센터 453호,127.0228226,37.74453818
264,창업보육센터,한국전력벤처기업육성센터,대전광역시 유성구 문지로 105 (문지동) 한국전력벤처기업육성센터,127.389202,36.39307357
265,창업보육센터,한국기술교육대창업보육센터,충청남도 천안시 동남구 병천면 충절로 1600 창업보육관,127.2811731,36.76509375
266,창업보육센터,동국대학교창업지원센터,"서울특별시 중구 퇴계로36길 2, 본관 820호 (필동2가) 본관 820호",126.9935883,37.56065864
267,창업보육센터,한국생산기술연구원정밀화학창업보육센터시화,경기도 안산시 상록구 항가울로 143 한국생산기술연구원안산연구센터 C동 310호,126.8416362,37.29277953
268,창업보육센터,강원도립대학 창업보육센터,강원도 강릉시 주문진읍 연주로 270 창업보육센터,128.8306749,37.87662417
269,창업보육센터,강원대학교 강원창업보육센터,강원도 춘천시 강원대학길 1 (효자동) 보듬관 301호,127.7382286,37.86906749
270,창업보육센터,경남도립거창대학디자인창업보육센터,경상남도 거창군 거창읍 거창대학로 72 창업보육센터,127.9123666,35.67321999
271,창업보육센터,건양대학교창업보육센터,충청남도 논산시 대학로 121 (내동),127.1129792,36.18329402
272,창업보육센터,경동대창업보육센터,강원도 고성군 토성면 봉포4길 46 문화관 1층,128.5565354,38.25153436
273,창업보육센터,경희창업보육센터(서울),서울특별시 동대문구 경희대로 26 경희대학교 창업보육센터(네오르네상스관 205호),127.0530723,37.59488917
274,창업보육센터,광주과학기술원 창업진흥센터,광주광역시 북구 첨단과기로 123  (오룡동) 첨단과기로 123(오룡동),126.841269,35.22777146
275,창업보육센터,구미대학교 창업보육센터,경상북도 구미시 야은로 37 (부곡동),128.289036,36.15220257
276,창업보육센터,군산대창업보육센터,전라북도 군산시 대학로 558 (미룡동) 군산대학교 창업보육센터,126.683214,35.94628591
277,창업보육센터,단국대생명공학창업보육센터,충청남도 천안시 동남구 단대로 119 (안서동) 단국대학교 생명공학창업보육센터,127.1709543,36.83877078
278,창업보육센터,수성대학교창업보육센터,대구광역시 수성구 달구벌대로528길 15 (만촌동) 창업보육센터,128.6480192,35.85260703
279,창업보육센터,부산가톨릭대학창업보육센터,부산광역시 금정구 오륜대로 57 창업보육센터 (부곡동),129.0981217,35.24496625
280,창업보육센터,한국폴리텍Ⅶ 부산대학 창업보육센터,부산광역시 북구 만덕대로155번길 99 (덕천동) 산학협력처,129.0202474,35.21937415
281,창업보육센터,삼육대학교창업보육센터,서울특별시 노원구 화랑로 815 (공릉동) 제1실습관 5층 5019호,127.1054558,37.64430919
282,창업보육센터,을지대학교 창업보육센터,경기도 성남시 수정구 산성대로 553 (양지동),127.1656533,37.46142772
283,창업보육센터,세라믹스창업보육센터,경상남도 진주시 소호로 109 (충무공동 15-3),126.8908476,37.47549962
284,창업보육센터,수원여자대학창업보육센터,경기도 화성시 봉담읍 주석로 1098 수원여자대학교 창업보육센터,126.9313944,37.20210338
285,창업보육센터,신구대학교 창업보육센터,경기 성남시 중원구 광명로 377 창업관 203호,127.1697257,37.44786621
286,창업보육센터,아주대학교 창업보육센터,경기도 수원시 영통구 월드컵로 206 아주대학교 산학협력원 211호,127.043448,37.28300663
287,창업보육센터,영남대학교 창업보육센터,경북 경산시  대학로 280 영남대학교 CRC센터 309호,128.7573387,35.83221052
288,창업보육센터,원광대학교 IT·BT창업보육센터,전라북도 익산시 익산대로 460 원광대학교 창업보육센터,126.9573169,35.96847031
289,창업보육센터,유한대학교창업보육센터,경기도 부천시 소사구 경인로 590 (괴안동),126.8204997,37.48771245
290,창업보육센터,인덕대학창업지원단,서울 노원구 초안산로  12 인덕대학교 제1공학관 4층 창업지원단,127.0542431,37.63218506
291,창업보육센터,전남과학대학교 창업보육센터,광주광역시 북구 첨단벤처소로 51 (월출동)전남과학대학교 창업보육센터,126.8639788,35.23515861
292,창업보육센터,제주국제대학교창업보육센터,제주특별자치도 제주시 516로 2870 제주국제대학교 창업보육센터,126.5693487,33.44096792
293,창업보육센터,중부대창업보육센터,충청남도 금산군 추부면 대학로 201 중부대학교 산학협력관 206호,127.4491063,36.19360768
294,창업보육센터,가톨릭관동대학교 창업보육센터,강원도 강릉시 사임당로 641-28 가톨릭관동대학교 창업보육센터 304호,128.8539027,37.79692388
295,창업보육센터,중앙대휴먼테크노창업보육센터,경기도 안성시 대덕면 서동대로 4726 서동대로 4726,127.2291272,37.0019013
296,창업보육센터,공주대학교천안창업보육센터,충남 천안시 서북구 천안대로 1223-24 공주대학교 천안캠퍼스 산학협력관 2층 207호,127.1485325,36.85034857
297,창업보육센터,충남대학교창업보육센터,대전광역시 유성구 대학로 99 충남대학교 산학연교육연구관 910호,127.3446409,36.36581934
298,창업보육센터,충북대학교창업보육센터,충청북도 청주시 서원구 충대로 1 (개신동) 학연산공동기술연구원 204호 창업보육센터,127.4571423,36.62515344
299,창업보육센터,포항대학교창업보육센터,경상북도 포항시 북구 흥해읍 신덕로 60 (양덕동) 경북 포항시 북구 흥해읍 신덕로 60 창업보육센터,129.4107307,36.0861507
300,창업보육센터,한경대학교 창업보육센터,경기도 안성시 중앙로 327 산학협력관 2층 (석정동),127.2634961,37.01221491
301,창업보육센터,생기원창업보육센터(천안),충남 천안시 서북구 입장면 양대기로길 89 한국생산기술연구원,127.2441312,36.90166596
302,창업보육센터,한국에너지기술연구원(EVIC)창업보육센터,대전광역시 유성구 가정로 152 (장동),127.3596433,36.38375351
303,창업보육센터,대구가톨릭대학교창업보육센터,경상북도 경산시 하양읍 하양로 13-13 (금락리) 대구가톨릭대학교 창업보육센터,128.8089917,35.91049842
304,창업보육센터,세종대학교벤처창업보육센터,서울특별시 광진구 군자로 121 세종대학교 새날관(행복기숙사) 205 (군자동),127.074001,37.55231041
305,창업보육센터,한국외대창업보육센터,경기도 용인시 처인구 모현면 외대로 81 창업보육센터,127.2674044,37.33917126
306,창업보육센터,김포테크노창업보육센터,"경기도 김포시 월곶면 김포대학로 97, 국제관 4층 401-1호 국제관 4층 401-1호",126.545879,37.73273015
307,창업보육센터,동서울대학교 창업보육센터,경기도 성남시 수정구 복정로 76 (복정동 ),127.1292649,37.45937377
308,창업보육센터,서원대창업보육센터,충북 청주시 서원구 무심서로 377-3(모충동) 서원대학교 창업보육센터 2관 202호,127.482512,36.62651323
309,창업보육센터,세명창업보육센터,충청북도 제천시 세명로 65 세명대학교 창업보육센터,128.1928246,37.18257118
310,창업보육센터,오산대학창업보육센터,경기도 오산시 청학로 45 (청학동),127.0621754,37.15617565
311,창업보육센터,영동대학교창업보육센터,충청북도 영동군 영동읍 대학로 310 산학협력관 3층 309호,127.7979908,36.19495335
312,창업보육센터,강원관광대학창업보육센터,강원도 태백시 대학길 97 (황지동),128.9741554,37.16171248
313,창업보육센터,남서울대학교 창업보육센터,충청남도 천안시 서북구 성환읍 대학로 91 남서울대학교 지식정보관,127.1449014,36.91062761
314,창업보육센터,동주대학교 창업보육센터,부산광역시 사하구 사리로55번길 16 창업보육센터 (괴정동),128.9982473,35.10830938
315,창업보육센터,동원과학기술대학교창업보육센터,경남 양산시 명곡로 321 동원과학기술대학교 창업보육센터 행정실 2204호,129.0679002,35.34399956
316,창업보육센터,대구보건대학교 창업보육센터,대구광역시 북구 영송로 15 (태전동),128.5440161,35.92681501
317,창업보육센터,동양대학교창업보육센터,경북 영주시 풍기읍 동양대로  145 동양대학교 창업보육센터,128.5357275,36.88045826
318,창업보육센터,한중대학교창업보육센터,강원도 동해시 지양길 200 (지흥동),129.0879488,37.50547112
319,창업보육센터,전북과학대학교창업보육센터,전라북도 정읍시 정읍사로 509 (시기동),126.8607707,35.54909516
320,창업보육센터,조선이공대학교 창업보육센터,광주광역시 동구 필문대로 309-1 본부동 2층 창업보육센터,126.929691,35.1391031
321,창업보육센터,대전대학교 창업보육센터,대전광역시 동구 대학로 62 (용운동),127.4628507,36.33452319
322,창업보육센터,광양보건대학교창업보육센터,"전라남도 광양시 광양읍 대학로 85, 창업보육센터 창업보육센터",126.845371,35.19054645
323,창업보육센터,광주보건대학창업보육센터,광주광역시 광산구 북문대로419번길 73 (신창동),126.845645,35.19080369
324,창업보육센터,한국폴리텍2대학 창업보육센터,인천광역시 부평구 무네미로448번길 56 한국폴리텍 대학 인천캠퍼스 하이테크관 (구산동),126.7554939,37.47857447
325,창업보육센터,수원대창업보육센터,경기도 화성시 봉담읍 와우안길 17 수원대학교 첨단 402호,126.9797503,37.20955969
326,창업보육센터,IAE창업보육센터,경기도 용인시 처인구 백암면 고안로51번길 175-28 ,127.4145436,37.1473147
327,창업보육센터,강릉영동대학창업보육센터,강원 강릉시 공제로 357 강릉영동대학 창업보육센터 강릉영동대학교 창업보육센터,128.8536401,37.74755717
328,창업보육센터,서울대학교농생명과학창업지원센터,경기도 수원시 권선구 서호로 89 (서둔동),126.9870685,37.26816024
329,창업보육센터,경남과학기술대학교창업보육센터,경상남도 진주시 동진로 33 산학협력관 창업보육센터 3층 305호 (칠암동),128.097074,35.17949763
330,창업보육센터,문경대학 창업보육센터,경상북도 문경시 호계면 대학길 161 문경대학교 창업보육센터,128.1732214,36.65753635
331,창업보육센터,백석대학교창업보육센터,충청남도 천안시 동남구 문암로 76 백석대학교 창업보육센터,127.183706,36.84086936
332,창업보육센터,한국해양대학교 해양벤처진흥센터,부산광역시 영도구 태종로 727 (동삼동),129.0892073,35.07637003
333,창업보육센터,동명대학교창업보육센터,부산광역시 남구 신선로 428 (용당동) 산학협력관 327호,129.1032635,35.12171673
334,창업보육센터,용인송담대학창업보육센터,경기도 용인시 처인구 동부로 61 (마평동),127.2159058,37.22845335
335,창업보육센터,동원대학교창업보육센터,경기도 광주시 곤지암읍 경충대로 26 경충대로 26,127.4039066,37.32897182
336,창업보육센터,안양대학교 창업보육센터,"경기도 안양시 만안구 안양로 311, 롯데시네마안양일번가쇼핑몰 15층 (안양동) 롯데시네마안양일번가쇼핑몰 15층",126.9195742,37.3911335
337,창업보육센터,광주시동구창업보육센터,광주광역시 동구 백서로 173 (서석동),126.9231484,35.14491516
338,창업보육센터,성북구한성대벤처창업지원센터_SHBI,서울특별시 성북구 화랑로 221 성북구 장위2동 65-154 성북구 한성대 벤처창업지원센터,127.0530119,37.60939739
339,창업보육센터,한서대학교항공해양창업보육센터,충청남도 태안군 남면 곰섬로 236-49 창업보육센터 2관,126.2932883,36.59575194
340,창업보육센터,한라대학교창업보육센터,강원도 원주시 흥업면 한라대길 28 창업보육센터,127.9075651,37.3045068
341,창업보육센터,연성대학교창업보육센터,경기도 안양시 만안구 양화로37번길 34 10호관(산학협력관) 창업보육센터,126.9067558,37.39673295
342,창업보육센터,신라대학교 창업보육센터,부산광역시 사상구 백양대로700번길 140  신라대학교 공학관 204호 창업보육센터,128.9979607,35.16626427
343,창업보육센터,한국농수산대학창업보육센터,전라북도 전주시 완산구 콩쥐팥쥐로 1515 (중동) 한국농수산대학 창업보육센터,126.9691696,37.22929489
344,창업보육센터,전주비전대학교창업보육센터,전라북도 전주시 완산구 천잠로 235 실습동212호 (효자동2가),127.092316,35.80974577
345,창업보육센터,춘천시창업보육센터,강원도 춘천시 소양강로 32 바이오타운 BIO-1동 112호 (후평동),127.7433774,37.89229257
346,창업보육센터,대경대학창업보육센터,경상북도 경산시 자인면 단북1길 65 대경대학 창업보육센터,128.8213964,35.83428426
347,창업보육센터,송원대학교창업보육센터,광주광역시 남구 송암로 73 청솔관 2층,126.8669082,35.16683032
348,창업보육센터,백제예술대학교창업보육센터,전라북도 완주군 봉동읍 백제대학로 171 백제예술대학교 창업보육센터,127.1283482,35.99558152
349,창업보육센터,제주관광대학창업보육센터,제주특별자치도 제주시 애월읍 평화로 2715 창업보육센터,126.4342284,33.44747331
350,창업보육센터,경북과학대학교창업보육센터,경상북도 칠곡군 기산면 지산로 634 산학협력관 101호,128.3468615,35.98368698
351,창업보육센터,안산대학교 창업보육센터,경기도 안산시 상록구 안산대학로 155 창업보육센터 (일동),126.8741556,37.30990672
352,창업보육센터,한국폴리텍VI대학창업보육센터,대구광역시 서구 국채보상로43길 15 산학협력관 405호,128.5534319,35.87402614
353,창업보육센터,호서대학교 중국(weihai)창업보육센터,중국 산동성 위해시 위해경제기술개발구 중국 산동성 위해시 경제기술개발구 해남로 11호,122.1013107,37.50730772
354,창업보육센터,삼척창업보육센터,강원 삼척시 중앙로 346 강원대학교 삼척창업보육센터 별관 행정실,129.1589999,37.45143099
355,창업보육센터,인천정보산업진흥원,인천광역시 남구 경인로 229 (도화동) 인천IT타워,126.6679368,37.46457094
356,창업보육센터,홍릉벤처밸리창업보육센터,서울특별시 성북구 화랑로14길 5 (하월곡동) 화랑로14길 5 (하월곡동),126.6679368,37.46457094
357,창업보육센터,울산대학교 창업보육센터,울산광역시 남구 대학로 93(무거동) 울산대학교 산학협동관 505호,129.2528967,35.54503587
358,창업보육센터,경상남도창업보육센터(GNBI),경상남도 창원시 마산회원구 봉암북7길 21 (봉암동),128.5986963,35.22419684
359,창업보육센터,인천대학교 제물포창업보육센터,인천광역시 남구 석정로 165 (도화동) 인천대학교 제물포 캠퍼스 창업보육센터 102호,126.6583207,37.47069065
360,창업보육센터,지식집약형 신발창업보육센터,부산광역시 부산진구 당감서로 152 (당감동),129.0300868,35.17195701
361,창업보육센터,경일대학교창업보육센터,경상북도 경산시 하양읍 가마실길 50 경일대학교 RNDB센터 210호 행정실,128.8002226,35.91017068
362,창업보육센터,안동과학대학 창업보육센터,경상북도 안동시 서후면 서선길 189 서선길 189,128.6546576,36.59018983
363,창업보육센터,경운대학교창업보육센터,경상북도 구미시 산동면 강동로 730 경운대학교 창업보육센터,128.4676428,36.16786702
364,창업보육센터,경북도립대학교창업보육센터,경상북도 예천군 예천읍 도립대학길 114 경북도립대학교 창업보육센터,128.4552647,36.64191727
365,창업보육센터,목포해양대학교 창업보육센터,전라남도 목포시 해양대학로 91 목포해양대학교 창업보육센터,126.3657903,34.79218532
366,창업보육센터,가천대학교 창업보육센터,경기도 성남시 수정구 성남대로 1342 (복정동),127.1271655,37.45110475
367,창업보육센터,가톨릭대학교 창업보육센터,경기도 부천시 원미구 지봉로 43 (역곡동),126.8042508,37.48579453
368,창업보육센터,부산대학교 밀양캠퍼스 창업보육센터,경상남도 밀양시 삼랑진읍 삼랑진로 1268-50,128.8079129,35.45463628
369,창업보육센터,서울국방벤처센터,서울특별시 성북구 오패산로 21 (하월곡동),127.0366554,37.60439185
370,창업보육센터,제주한라대학교창업보육센터,제주특별자치도 제주시 한라대학로 38 하이테크센터 1층,126.4750488,33.47694115
371,창업보육센터,상지대학교 창업보육센터,강원도 원주시 상지대길 83 벤처창업관 2층 행정실 (우산동),127.9266619,37.37118143
372,창업보육센터,충남신기술창업보육센터,충청남도 아산시 염치읍 은행나무길 223 충청남도경제진흥원 3층,127.0114573,36.79964529
373,창업보육센터,한국승강기대학교 창업보육센터,경상남도 거창군 거창읍 운정1길 120 한국승강기대학교 창업보육센터,127.89621,35.67516185
374,창업보육센터,부산이노비즈센터,부산광역시 북구 만덕3로16번길 1 (만덕동),129.0256584,35.21174549
375,창업보육센터,구미시창업보육센터,경상북도 구미시 1공단로 144 구미시 창업보육센터 행정지원실 (공단동),128.3790313,36.10132209
376,창업보육센터,환경벤처센터ETBI,"인천광역시 서구 정서진로 410, 환경산업연구단지 환경벤처센터 (경서동) 환경산업연구단지 환경벤처센터",126.9342663,37.60991582
377,창업보육센터,전남대 여수창업보육센터,전라남도 여수시 대학로 50 (둔덕동),127.7004462,34.77570978
378,창업보육센터,KAIST 창업보육센터,대전광역시 유성구 문지로 193 KAIST 문지캠퍼스 학부동 F621호 창업보육센터 (문지동),127.3957995,36.39119097
379,창업보육센터,인하대학교창업지원센터,인천광역시 남구 인하로 100 (용현동),126.6534257,37.44989464
380,창업보육센터,배재대학교 창업보육센터,대전광역시 유성구 테크노1로 11-3 (관평동),127.388664,36.4321904
381,창업보육센터,한양대학교 창업보육센터,"서울특별시 성동구 왕십리로 222, HIT 504호 (사근동) HIT 504호",127.0452707,37.55768135
382,창업보육센터,대구드림파크,대구광역시 달서구 성서공단북로 235 (신당동),128.4987382,35.84534789
383,창업보육센터,한국여성경제인협회 창업보육센터,부산광역시 동구 중앙대로296번길 3-3 (초량동),129.0445536,35.12313848
384,창업보육센터,대구한의대학교 한방바이오창업보육센터,경상북도 경산시 어봉지길 285-10 (여천동) 대구한의대학교 오성캠퍼스 미래관,128.7730464,35.79911575
385,창업보육센터,경기벤처창업보육센터,경기도 수원시 영통구 광교로 107 (이의동),127.0429565,37.29116571
386,창업보육센터,한국광기술원 신기술창업센터,광주광역시 북구 첨단벤처로108번길 9 (월출동),126.8592984,35.23223289
387,창업보육센터,로봇창업보육센터,경상남도 창원시 마산회원구 내서읍 광려천남로 59,128.5112264,35.24633087
388,창업보육센터,대구경북중소기업청경북대학교중소기업성장지원센터,대구광역시 달서구 중흥로 20 중소기업성장지원센터 (송현동),128.5551469,35.83188866
389,창업보육센터,한국생산기술연구원 부산창업보육센터,부산광역시 강서구 과학산단1로60번길 30 (지사동) 부산창업보육센터,128.8274512,35.14657151
390,창업보육센터,농축산바이오창업보육센터(농축산바이오특화),충청남도 논산시 대학로 121 건양대학교 내 충남TP 바이오센터 (내동),127.1129792,36.18330754
391,창업보육센터,대구공업대학교 창업보육센터,대구광역시 달서구 송현로 205 대구공업대학교 창업보육센터 403호,128.5417648,35.83558914
392,창업보육센터,한국생산기술연구원 광주창업보육센터,광주광역시 북구 첨단과기로208번길 6 (오룡동),126.8476361,35.22557359
393,창업보육센터,경기여성창업보육센터,경기도 용인시 기흥구 용구대로 2311 (마북동),127.1079631,37.2928002
394,창업보육센터,신성대학교 창업보육센터,"충청남도 당진시 정미면 대학로 1, 산학협력관 4층 창업보육센터",126.6287198,36.893772
395,창업보육센터,연세장애인창업보육센터,강원도 원주시 흥업면 연세대길 1  연세 장애인창업보육센터,127.9041077,37.27526852
396,창업보육센터,단국대학교 디자인공예창업보육센터,"경기도 용인시 수지구 죽전로 152 글로컬 산학협력관 212호 (죽전동, 단국대학교)",127.1249819,37.32206483
397,창업보육센터,마포비즈니스센터,서울특별시 마포구 매봉산로 18 (상암동),126.8899227,37.57416748
398,창업보육센터,희망전북 POST-BI,전라북도 전주시 덕진구 상리1길 34 (팔복동2가),127.10056,35.85218169
399,창업보육센터,충북지방중소기업청 Green Post-BI,충청북도 청주시 흥덕구 가로수로 1251 충북대학교G-테크벤처센터 107호 행정지원실,127.4325433,36.63552268
400,창업보육센터,백석문화대학 창업보육센터,충청남도 천안시 동남구 청수14로 96 백석문화센터 내 창업보육센터 709호,127.1568541,36.78532736
401,창업보육센터,나노융합의료부품소재창업보육센터,"전라남도 장성군 남면 나노산단로 123, 나노바이오연구센터 나노바이오연구센터",126.8333289,35.2402512
402,창업보육센터,남부대학교 창업보육센터,광주광역시 광산구 첨단중앙로 23 남부대 창업보육센터,126.8413251,35.20742356
403,창업보육센터,이천분원 창업보육센터,경기도 이천시 신둔면 경충대로 3321 경충로 30 한국세라믹기술원 이천분원 창업보육센터,127.3950351,37.32194673
404,창업보육센터,동국대학교 BT 창업지원센터,경기도 고양시 일산동구 동국로 32 동국대학교 산학협력관 창업지원센터 (식사동),126.8076709,37.67729706
405,창업보육센터,바이오소재실용화창업보육센터,전라남도 화순군 화순읍 산단길 12-55 생물의약연구센터 바이오소재실용화 창업보육센터,126.9628501,35.03258931
406,창업보육센터,숙명여대창업보육센터,서울특별시 용산구 청파로47길 90 숙명여자대학교 창업보육센터 (청파동2가),126.965368,37.5452782
407,창업보육센터,서울시창업지원센터,서울특별시 구로구 디지털로26길 72 (구로동),126.896103,37.48071219
408,창업보육센터,해양레저산업 창업보육센터,부산광역시 강서구 녹산산단232로 38-6 (송정동),128.8421413,35.08622946
409,창업보육센터,전자부품연구원 창업보육센터,경기도 성남시 분당구 새나리로 25 (야탑동),127.160828,37.40388427
410,창업보육센터,에코인쇄전자창업보육센터,전라북도 전주시 덕진구 반룡로 111 (팔복동2가) 전자부품연구원,127.0822706,35.85899332
411,창업보육센터,경기중소기업성장지원센터,경기도 수원시 권선구 수성로 8 (구운동),126.9748259,37.28144411
412,창업보육센터,건국대학교 i-SMART창업보육센터,충청북도 충주시 충원대로 268 (단월동),127.9078895,36.94961933
413,창업보육센터,바이오융합창업보육센터,전라남도 곡성군 입면 입면로 437,127.1828482,35.30361243
414,창업보육센터,고려대학교신수종BT융합산업창업보육센터,충청북도 청주시 흥덕구 오송읍 오송생명2로 125 고려대학교 의생명공학연구원(BT융합 창업보육센터),127.3228689,36.64018231
